Exercise Level,Sleep Hours,Stress Level,Work Hours per Week,Screen Time per Day (Hours),Social Interaction Score,Happiness Score,Diet Type_Balanced,Diet Type_Junk Food,Diet Type_Keto,Diet Type_Vegan,Diet Type_Vegetarian
0.0,6.3,0.0,21,4.0,7.8,6.5,0.0,0.0,0.0,0.0,1.0
1.0,4.9,0.0,48,5.2,8.2,6.8,0.0,0.0,0.0,1.0,0.0
0.0,7.2,2.0,43,4.7,9.6,9.7,0.0,0.0,0.0,0.0,1.0
0.0,7.2,0.0,43,2.2,8.2,6.6,0.0,0.0,0.0,1.0,0.0
0.0,7.3,0.0,35,3.6,4.7,4.4,1.0,0.0,0.0,0.0,0.0
1.0,2.7,1.0,50,3.3,8.4,7.2,1.0,0.0,0.0,0.0,0.0
1.0,6.6,0.0,28,7.2,5.6,6.9,0.0,1.0,0.0,0.0,0.0
0.0,6.3,2.0,46,5.6,3.5,1.1,0.0,0.0,0.0,0.0,1.0
2.0,4.7,0.0,33,6.6,3.7,5.2,0.0,0.0,0.0,0.0,1.0
1.0,3.3,0.0,44,7.7,3.0,7.7,0.0,0.0,0.0,1.0,0.0
1.0,6.3,0.0,41,5.9,2.3,5.5,1.0,0.0,0.0,0.0,0.0
0.0,8.1,0.0,54,7.9,2.7,8.0,0.0,0.0,0.0,1.0,0.0
2.0,2.6,1.0,52,3.9,1.6,5.1,1.0,0.0,0.0,0.0,0.0
0.0,5.3,2.0,46,3.1,9.0,9.8,0.0,0.0,0.0,1.0,0.0
1.0,6.7,2.0,59,4.4,9.4,3.6,1.0,0.0,0.0,0.0,0.0
1.0,8.2,0.0,45,4.8,6.3,1.8,0.0,0.0,0.0,1.0,0.0
0.0,6.0,0.0,38,7.4,8.6,4.9,1.0,0.0,0.0,0.0,0.0
0.0,9.4,1.0,58,5.4,2.7,5.9,0.0,0.0,0.0,1.0,0.0
2.0,3.8,0.0,45,3.8,9.1,4.1,0.0,0.0,0.0,0.0,1.0
2.0,3.5,1.0,25,6.5,5.6,3.2,0.0,1.0,0.0,0.0,0.0
1.0,8.0,2.0,22,5.0,1.6,7.0,0.0,0.0,0.0,1.0,0.0
2.0,3.0,2.0,25,3.0,2.3,4.4,0.0,1.0,0.0,0.0,0.0
2.0,7.2,1.0,47,5.5,3.8,6.7,0.0,0.0,0.0,0.0,1.0
1.0,6.1,2.0,22,7.5,1.4,8.0,0.0,0.0,0.0,0.0,1.0
1.0,5.1,0.0,32,7.1,3.8,7.8,1.0,0.0,0.0,0.0,0.0
1.0,5.9,0.0,32,5.5,1.5,4.4,0.0,1.0,0.0,0.0,0.0
1.0,4.6,1.0,32,4.3,3.1,6.1,0.0,0.0,1.0,0.0,0.0
0.0,6.0,2.0,20,2.5,3.4,5.0,1.0,0.0,0.0,0.0,0.0
1.0,6.5,2.0,59,4.8,9.9,8.8,0.0,1.0,0.0,0.0,0.0
1.0,5.9,1.0,56,6.5,3.1,8.9,0.0,0.0,0.0,1.0,0.0
1.0,5.6,1.0,50,4.2,3.2,4.1,0.0,0.0,0.0,1.0,0.0
2.0,6.9,2.0,36,3.4,7.2,1.8,0.0,0.0,0.0,0.0,1.0
1.0,9.0,1.0,28,7.6,8.7,2.5,0.0,0.0,1.0,0.0,0.0
0.0,6.1,0.0,32,6.9,4.5,4.3,0.0,0.0,0.0,1.0,0.0
0.0,7.7,2.0,56,5.8,8.9,6.1,0.0,1.0,0.0,0.0,0.0
1.0,5.1,1.0,33,2.8,4.1,6.9,0.0,1.0,0.0,0.0,0.0
0.0,4.5,1.0,30,2.9,2.8,4.0,0.0,0.0,0.0,1.0,0.0
2.0,7.2,1.0,44,2.6,4.0,7.0,0.0,1.0,0.0,0.0,0.0
1.0,6.1,2.0,50,5.7,6.5,9.4,0.0,1.0,0.0,0.0,0.0
0.0,8.2,0.0,33,2.7,4.3,6.9,0.0,0.0,0.0,0.0,1.0
0.0,8.5,0.0,26,7.1,7.1,2.4,0.0,0.0,1.0,0.0,0.0
1.0,7.8,2.0,43,8.0,3.1,6.2,0.0,0.0,0.0,0.0,1.0
0.0,7.7,1.0,55,4.2,7.3,5.9,0.0,0.0,1.0,0.0,0.0
1.0,1.4,2.0,22,4.7,4.1,8.8,0.0,1.0,0.0,0.0,0.0
0.0,7.2,2.0,45,6.3,5.1,4.2,0.0,0.0,1.0,0.0,0.0
2.0,7.8,1.0,45,7.6,6.0,4.8,0.0,1.0,0.0,0.0,0.0
0.0,4.6,2.0,20,7.4,7.2,6.4,0.0,1.0,0.0,0.0,0.0
0.0,6.5,0.0,34,2.3,3.1,5.7,0.0,0.0,0.0,0.0,1.0
1.0,4.9,2.0,30,3.0,8.5,7.5,0.0,0.0,0.0,0.0,1.0
0.0,8.0,1.0,56,6.5,7.5,1.4,1.0,0.0,0.0,0.0,0.0
1.0,5.1,2.0,26,6.1,3.1,6.1,0.0,0.0,0.0,1.0,0.0
2.0,5.3,0.0,31,2.8,9.8,2.1,1.0,0.0,0.0,0.0,0.0
1.0,5.8,2.0,57,5.0,7.0,3.8,1.0,0.0,0.0,0.0,0.0
1.0,9.9,2.0,22,6.7,5.1,7.0,0.0,0.0,1.0,0.0,0.0
0.0,8.0,2.0,45,3.3,2.4,2.4,0.0,1.0,0.0,0.0,0.0
